#,BUSINESS NAME,CATEGORY,COUNTRY,CITY,ADDRESS,WEBSITE,EMAIL,PHONE,STATUS,OUTREACH,NOTES
,Alina Shmigel Real Estate Broker,Real estate agent,US,Vancouver,"15524 SE Mill Plain Blvd, Vancouver, WA 98684",,N/A,"(503) 998-2637
",,🆕 New Lead,
,Berkshire Hathaway HomeServices Northwest Real Estate Clark County NW Office,Real estate agency,US,Vancouver,"10002 NE 13th Ave Ste. 110, Vancouver, WA 98686",https://ccnw.bhhsnw.com/,N/A,"(360) 574-1381
",,🆕 New Lead,
,Johan Henriksbo,Real estate agent,US,Vancouver,"900 Washington St #1030, Vancouver, WA 98660",https://johanhenriksbo-kniperealtyerapowered.sites.erarealestate.com/,support@moxiworks.com,"(360) 600-0587
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Cano Real Estate,Real estate agency,US,Vancouver,"415 E Mill Plain Blvd, Vancouver, WA 98660",http://www.canorealestate.com/,ncopyright@nwmls.com,"(360) 823-3333
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,List4FlatFee,Real estate agency,US,Camas,"330 NE Cedar St #201, Camas, WA 98607",https://list4flatfee.com/,mls@list4flatfee.com,"(425) 344-6779
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Windermere Northwest Living,Real estate agency,US,Vancouver,"1404 NE 134th St #100, Vancouver, WA 98685",https://windermerenorthwestliving.com/,info@windermere.com,"(360) 993-2222
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Bluebird Real Estate,Real estate agency,US,Lake Oswego,"920 SW York Rd, Lake Oswego, OR 97034",http://www.pdxbluebird.com/,N/A,"(503) 341-8221
",,🆕 New Lead,
,Azra Ramic,Real estate agent,US,Vancouver,"1498 SE Tech Center Pl suite #290, Vancouver, WA 98683",https://aramic.bhhsnw.com/,N/A,"(360) 977-9601
",,🆕 New Lead,
,"Erica Stout, REALTOR® with REMAX",Real estate agent,US,Vancouver,"RE/MAX Equity Group-Van Mall Office, 7701 NE Greenwood Dr Suite 100, Vancouver, WA 98662",https://ericastout.remax.com/,N/A,"(360) 600-6302
",,🆕 New Lead,
,Jamie Meushaw Real Estate,Real estate agent,US,Vancouver,"13514 SE 26th Cir, Vancouver, WA 98683",https://jamiemeushaw.exprealty.com/index.php,N/A,"(360) 798-7127
",,🆕 New Lead,
,Opt Real Estate,Real estate agency,US,Lake Oswego,"16325 Boones Ferry Rd # 202, Lake Oswego, OR 97035",https://theopt.com/,N/A,"(503) 908-4908
",,🆕 New Lead,
,Reyes Home Group,Real estate agent,US,Vancouver,"1401 SE 164th Ave Suite 190, Vancouver, WA 98683",http://reyeshomegroup.com/,support@windermere.com,"(360) 607-9436
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Front Door Realty,Real estate agency,US,Vancouver,"9407 NE Vancouver Mall Dr #102, Vancouver, WA 98662",https://www.frontdoornw.com/,Julie@FrontDoorNW.com,"(360) 450-4486
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Northern Kentucky Association of REALTORS (R),Non-profit organization,US,Florence,"7660 Turfway Rd STE 100, Florence, KY 41042",http://www.nkar.com/,tara.johnson@nkadd.org,"(859) 344-8400
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Terry Summerhays - Brantford Real Estate Agent,Real estate agency,CA,Brantford,"515 Park Rd N, Brantford, ON N3R 7K8, Canada",https://www.viewbrantfordhomes.com/,N/A,"1 519-802-8770
",,🆕 New Lead,
,Edge 35,Apartment rental agency,US,Indianapolis,"1224 Prospect St, Indianapolis, IN 46203",https://www.edge35.com/?utm_source=GMB&utm_medium=organic,N/A,"(844) 993-2404
",,🆕 New Lead,
,Avison Young,Commercial real estate agency,US,Brentwood,"1401 S Brentwood Blvd # 900, Brentwood, MO 63144",https://www.avisonyoung.us/web/st-louis?utm_source=google&utm_medium=gmb,N/A,"(314) 968-0220
",,🆕 New Lead,
,Travelex International,Travel agency,US,Hoffman Estates,"2500 W Higgins Rd Suite 850, Hoffman Estates, IL 60169",https://travelexinternational.com/,concierge@travelexinternational.com,"(847) 565-1559
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,CoStar Group,Corporate office,US,Chicago,"150 North Riverside Drive Suite 5150, Chicago, IL 60606",https://www.costargroup.com/,N/A,"(888) 658-7368
",,🆕 New Lead,
,Indy Travel Leaders,Travel agency,US,Indianapolis,"9745 Fall Creek Rd #200, Indianapolis, IN 46256",https://www.indytravelleaders.com/,N/A,"(317) 913-3300
",,🆕 New Lead,
,"Danielle Henderson, New Way Realty Partners",Real estate agent,US,Southfield,"24001 Southfield Rd # L100, Southfield, MI 48075",https://www.homesnap.com/Danielle-Henderson/gmb,support@citysnap.com,"(313) 657-0748
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,A. Perry Homes,Custom home builder,US,Wilmette,"1220 Washington Ave, Wilmette, IL 60091",http://www.aperryhomes.com/,info@aperryhomes.com,"(847) 549-0668
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,CL3 Property Management,Property management company,US,Chicago,"1337 W Wrightwood Ave STE 1, Chicago, IL 60614",http://www.cl3pm.com/,Info@CL3pm.com,"(773) 227-2388
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Nelson Property Management,Property management company,US,Fraser,"32631 Utica Rd, Fraser, MI 48026",https://nelsonpropertymanagement.com/,info@sampleaddress.com,"(586) 294-6800
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Nulf Management Services - Pittsburgh Property Management,Property management company,US,Pittsburgh,"600 Waterfront Dr Suite 200, Pittsburgh, PA 15222",https://www.nms.biz/,info@nulfmanagementservices.com,"(412) 228-5783
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Cahill Real Estate Services Lee Searcy, Realtor",Real estate agent,US,Taylor Mill,"5433 Taylor Mill Rd, Taylor Mill, KY 41015",http://www.hasslefreewithlee.com/,Lee@HassleFreeWithLee.com,"(859) 468-0605
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,GRTD Rentals/KMDE,Real estate agency,US,Dubuque,"3250 Kennedy Cir Suite 4, Dubuque, IA 52002",https://www.grtdrentals.com/,N/A,"(563) 556-3645
",,🆕 New Lead,
,WMS Real Estate and WMS Auction Services,Real estate agent,US,Upper Sandusky,"400 Comfort Dr, Upper Sandusky, OH 43351",http://www.wmsohio.com/,N/A,"(419) 294-4366
",,🆕 New Lead,
,Wiles Hanzie Realty,Real estate agency,US,Orrville,"229 W Market St, Orrville, OH 44667",http://www.wileshanzie.com/,info@wileshanzie.com,"(330) 683-4663
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Network Commercial Real Estate,Commercial real estate agency,US,Frankfort,"19350 S Harlem Ave, Frankfort, IL 60423",http://www.networkregroup.com/,N/A,"(708) 873-5540
",,🆕 New Lead,
,Kennemer Realty,Real estate agency,US,Seymour,"109 W Clinton Ave, Seymour, MO 65746",,N/A,"(855) 935-2201
",,🆕 New Lead,
,Smarte Realty,Real estate agency,US,Livonia,"39375 Amrhein Rd, Livonia, MI 48150",http://www.hellosmarte.com/,aleca@hellosmarte.com,"(248) 282-4482
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Bright Star Real Estate Services,Real estate agency,US,Middlebury,"55137 IN-13, Middlebury, IN 46540",https://brightstarres.com/,N/A,"(574) 821-7653
",,🆕 New Lead,
,Chesney Team Realtors,Real estate agent,US,Ann Arbor,"213 W Liberty St suite 300, Ann Arbor, MI 48104",http://www.chesneyteam.com/,support@moxiworks.com,"(734) 478-3540
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Westfork Auction & Real Estate, LLC",Real estate agency,US,Arcola,"2588 E Co Rd 1900 N, Arcola, IL 61910",https://www.westforkauctions.com/,westforkauctions@gmail.com,"(217) 543-2883
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,United Country Real Estate-Barner Realty & Auction,Real estate agency,US,Anamosa,"211 W Main St, Anamosa, IA 52205",http://www.barnerrealtyauctioninc.com/index.html,unitedsupport@unitedrealestate.com,"(319) 462-4100
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Max Broock REALTORS,Real estate agency,US,Detroit,"3633 Woodward Ave, Detroit, MI 48226",https://www.maxbroock.com/,N/A,"(313) 324-8600
",,🆕 New Lead,
,"Stacie McGlone, Always Home Real Estate Services LLC",Real estate agent,US,Frankfort,"408 Center Rd, Frankfort, IL 60423",,N/A,"(773) 213-1150
",,🆕 New Lead,
,Wiens & Roth Real Estate,Real estate agency,US,Lambertville,"8204 Secor Rd, Lambertville, MI 48144",https://wiensandroth.com/,aaron@wiensandroth.com,"(419) 777-2106
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,JMG Ohio Tim Ali Team,Real estate agent,US,Middleburg Heights,"19495 Bagley Rd, Middleburg Heights, OH 44130",http://jmgohio.com/,N/A,"(440) 816-1111
",,🆕 New Lead,
,All County® NEO Property Management,Property management company,US,Hudson,"10000 Aurora Hudson Rd C, Hudson, OH 44236",https://www.allcountyprop.com/locations/ohio/hudson/,N/A,"(330) 348-5200
",,🆕 New Lead,
,M E Realty,Real estate agency,US,Lincoln,"602 Keokuk St, Lincoln, IL 62656",https://merealty.com/,merealty@merealty.com,"(217) 735-5424
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Team Pannell Real Estate,Real estate agency,US,Nicholasville,"131 Old Woods Dr, Nicholasville, KY 40356",https://www.teampannell.com/,N/A,"(859) 800-6548
",,🆕 New Lead,
,Rondo Investment,Real estate agency,US,St Clair Shores,"23204 Greater Mack Ave, St Clair Shores, MI 48080",https://www.rondoinvestment.com/,N/A,"(313) 521-6666
",,🆕 New Lead,
,Maynes Group,Real estate agency,US,St. Louis,"1717 Hidden Creek Ct, St. Louis, MO 63131",https://maynesgroupstl.com/,N/A,"(314) 504-5566
",,🆕 New Lead,
,Jim Abbott Realtor,Real estate agent,US,Chicago,"2526 N Lincoln Ave, Chicago, IL 60614",http://www.jimabbott.bairdwarner.com/,N/A,"(847) 668-8955
",,🆕 New Lead,
,Lance Kirshner - LAKE Group,Real estate agency,US,Chicago,"2350 N Lincoln Ave, Chicago, IL 60614",http://www.lakegroupchicago.com/,N/A,"(773) 578-8080
",,🆕 New Lead,
,Realtyflo Inc,Real estate agency,US,Detroit,"1001 Woodward Building, Woodward Ave Ste 500, Detroit, MI 48226",https://realtyflo.com/,team@realtyflo.com,"(313) 466-7253
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Best Chicago Properties,Real estate agency,US,Chicago,"847 W Monroe St, Chicago, IL 60607",https://www.bestchicagoproperties.com/,info@bestchicagoproperties.com,"(312) 767-7744
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Janie Luxury Realty,Real estate agent,US,Chicago,"515 N State St, Chicago, IL 60654",https://janieluxuryrealty.com/,janie@apartmentsourcechicago.com,"(773) 599-0509
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Regan + Ferguson Group REALTY,Real estate agency,US,Fort Wayne,"5728 Coventry Ln, Fort Wayne, IN 46804",https://reganfergusongroup.com/,support@agentfire.com,"(260) 207-4648
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,RE/MAX Suburban: Dominick Martelli,Real estate agent,US,Lake Zurich,"444 S Rand Rd, Lake Zurich, IL 60047",http://www.dominickmartelli.com/,N/A,"(847) 340-8863
",,🆕 New Lead,
,REMAX Advanced Realty,Real estate agency,US,Indianapolis,"8313 W 10th St, Indianapolis, IN 46234",http://www.indianapolisrealestate.com/,N/A,"(317) 298-0961
",,🆕 New Lead,
,Ian Schwartz - The Ian Schwartz Group,Real estate agency,US,Chicago,"1910 N Clybourn Ave, Chicago, IL 60614",http://ianschwartzgroup.wordpress.com/,N/A,"(312) 915-4729
",,🆕 New Lead,
,Louisville Real Estate Pros,Real estate agency,US,Louisville,"920 Dupont Rd Suite 200, Louisville, KY 40205",http://www.louisvillerealestatepros.com/,N/A,"(502) 435-5524
",,🆕 New Lead,
,Lesley Carrillo Group | Real Estate Agent | Corcoran Urban Real Estate,Real estate agent,US,Chicago,"400 E Randolph St #500, Chicago, IL 60601",http://lesleycarrillogroup.com/,N/A,"(312) 945-2989
",,🆕 New Lead,
,Simple Property Management,Property management company,US,Grand Rapids,"1345 Monroe Ave NW UNIT 305, Grand Rapids, MI 49505",https://simplepmgroup.com/,info@simplepmgroup.com,"(616) 329-6318
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Ohio Cashflow,Property investment company,US,Toledo,"2428 W Sylvania Ave, Toledo, OH 43613",http://www.ohiocashflow.com/,N/A,"(844) 289-8876
",,🆕 New Lead,
,HUAXIA REAL ESTATE BROKERS - DUBAI | 迪拜华夏地产,Real estate agency,AE,,Park Heights Square 2 Dubai Hills Estate - Office 504 - Hadaeq Sheikh Mohammed Bin Rashid - Dubai - United Arab Emirates,https://www.huaxia.ae/?utm_source=local_maps&utm_medium=gbp&utm_campaign=googlemaps,info@huaxia.ae,"971 4 589 7440
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Emireum Properties | Real estate agency in dubai,Real estate agent,AE,,"Burj Khalifa District, The Opus By Omniyat - Suite A406 - Business Bay - Dubai - United Arab Emirates",https://www.emireumproperties.com/en,info@emireumproperties.com,"971 4 410 7429
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Harbor Real Estate Broker LLC,Real estate consultant,AE,,City Tower - 18th Floor Office#1803 - 2 Sheikh Zayed Rd - Dubai - United Arab Emirates,https://www.harbordubai.com/,info@harbordubai.com,"971 4 325 1616
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Next Level Real Estate - Award Winning Real Estate Agency in Dubai,Real estate agent,AE,,Opal Tower - 1505 - Burj Khalifa Blvd - Business Bay - Dubai - United Arab Emirates,https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business,media@nextlevelrealestate.ae,"971 4 454 2828
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,District Real Estate,Real estate agency,AE,,Prime Tower - 1512 - Business Bay - Dubai - United Arab Emirates,http://www.districtuae.com/,N/A,"971 4 880 0373
",,🆕 New Lead,
,ELITE Property Brokerage,Real estate agent,AE,,Onyx Tower - 1 Sheikh Zayed Rd - Al Thanyah Third - Dubai - United Arab Emirates,https://www.elitepropertydxb.com/,N/A,"971 4 770 1087
",,🆕 New Lead,
,Xperience​ Realty Real Estate,Real estate agent,AE,,Office 301 & 302 Park Heights Square Building 1 - Dubai Hills - Dubai - United Arab Emirates,https://www.xrealty.ae/,info@xrealty.ae,"971 56 408 0888
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Urban Nest Real Estate Broker LLC,Real estate agent,AE,,I-Rise Tower - Office 11C02 - Hessa St - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,http://www.theurbannest.ae/,"user@domain.com  
hello@theurbannest.ae","971 4 263 3379
",,🆕 New Lead,
,Robin Gordon Real Estate Group | Main Line & Philadelphia,Real estate agency,US,Haverford,"338 W Lancaster Ave, Haverford, PA 19041",https://www.robingordon.com/,N/A,"(610) 246-2280
",,🆕 New Lead,
,The Donnelly Group of Keller Williams Flagship of Maryland,Real estate agency,US,Annapolis,"339 Buschs Frontage Rd #206, Annapolis, MD 21409",http://www.tdgmoves.com/,N/A,"(443) 308-4918
",,🆕 New Lead,
,Johan German - Century 21 A.G. Realty Group,Real estate agent,US,Passaic,"47 Hoover Ave, Passaic, NJ 07055",,N/A,"(862) 290-0105
",,🆕 New Lead,
,"Keller Williams, The Downing Group",Real estate agency,US,Columbia,"3790 Fernandina Rd # 300, Columbia, SC 29210",https://www.thedowninggroup.com/?utm_campaign=gmb,N/A,"(803) 381-8950
",,🆕 New Lead,
,Germany Andrews Real Estate,Real estate agency,US,Peachtree City,"401 Westpark Ct #200, Peachtree City, GA 30269",https://www.germanyandrews.com/,N/A,"(770) 500-2751
",,🆕 New Lead,
,abuda,Real estate agent,DE,Berlin,"Friedrichstr 68 entrance via, Anton-Wilhelm-Amo-Straße 50, 10117 Berlin, Germany",https://abuda.com/,"you@familyoffice.com, hello@abuda.com","49 172 9831161
",,🆕 New Lead,
,"Merit Co. Inc., Real Estate",Real estate agency,US,Colorado Springs,"6120 Tutt Blvd, Colorado Springs, CO 80923",https://meritco.com/,busmgr@meritco.com,"(719) 598-4884
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Gold Hill Mesa,Real estate developer,US,Colorado Springs,"142 S Raven Mine Dr STE 200, Colorado Springs, CO 80905",http://goldhillmesa.com/,N/A,"(719) 633-2202
",,🆕 New Lead,
,Dorman Real Estate Management,Property management company,US,Colorado Springs,"2760 N Academy Blvd #120, Colorado Springs, CO 80917",http://www.coloradospringsproperty.management/,DRE@DormanRealEstate.com,"(719) 213-9100
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Innovative Group,Real estate agency,US,Colorado Springs,"1295 Kelly Johnson Blvd ste 150, Colorado Springs, CO 80920",https://innovativegroup.com/,N/A,"(719) 749-1744
",,🆕 New Lead,
,German Real Estate Immobilien Gruppe,Real estate agency,DE,Bayreuth,"Bürgerreuther Str. 29, 95444 Bayreuth, Germany",,N/A,"49 921 73030800
",,🆕 New Lead,
,CONSUS Real Estate AG,Real estate agency,DE,Berlin,"188-189 Kurfürstendamm, Berlin 10707, 10707 Berlin, Germany",,N/A,"49 30 96535790260
",,🆕 New Lead,
,"All County Colorado Springs, CRMC",Property management company,US,Colorado Springs,"811 S Tejon St, Colorado Springs, CO 80903",https://allcountycs.com/,N/A,"(719) 445-7172
",,🆕 New Lead,
,NOW Real Estate Germany GmbH,Real estate agency,DE,Dresden,"Mendelssohnallee 6, 01309 Dresden, Germany",,N/A,"49 1067
",,🆕 New Lead,
,PCS Pro Network - The PCS Pro Team - Military Real Estate - Keller Williams,Real estate agency,US,Colorado Springs,"25 N Spruce St Suite 200, Colorado Springs, CO 80905",https://thepcsproteam.com/,N/A,"(719) 299-1769
",,🆕 New Lead,
,"Susanna Haynie, Realtor®",Real estate agent,US,Colorado Springs,"142 S Raven Mine Dr, Colorado Springs, CO 80905",,N/A,"(719) 321-0800
",,🆕 New Lead,
,"All Seasons, LLC CRMC",Real estate agency,US,Colorado Springs,"1610 S Tejon St, Colorado Springs, CO 80905",https://www.propertymanagementincoloradosprings.com/,urgent@all-seasons.com,"(719) 632-3368
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"The Lana Rodriguez Group Powered by REAL Broker, LLC.",Real estate agency,US,Colorado Springs,"417 S Cascade Ave, Colorado Springs, CO 80903",http://www.soldbylrg.com/,lrg@pcscolorado.com,"(719) 644-8900
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Kentwood Real Estate Cherry Creek,Real estate agency,US,Denver,"215 St Paul St STE 200, Denver, CO 80206",https://www.kentwood.com/roster/Offices/cherrycreek,N/A,"(303) 331-1400
",,🆕 New Lead,
,VALOR PROPERTIES,Real estate agency,US,Colorado Springs,"3975 Wakefield Dr, Colorado Springs, CO 80906",http://www.valorealtor.com/,N/A,"(719) 238-4608
",,🆕 New Lead,
,realbest Germany GmbH,Real estate rental agency,DE,Berlin,"Helmholtzstraße 2-9, 10587 Berlin, Germany",https://www.realbest.de/,N/A,"49 30 58581790
",,🆕 New Lead,
,RE/MAX Germany,Real estate agent,DE,Leinfelden-Echterdingen,"Kohlhammerstraße 6, 70771 Leinfelden-Echterdingen, Germany",https://www.remax.de/,N/A,"49 711 93326330
",,🆕 New Lead,
,Metz Immobilien,Real estate agent,DE,Frankfurt am Main,"Ludwig-Landmann-Straße 9, 60488 Frankfurt am Main, Germany",http://www.metz-immobilien.net/,N/A,"49 69 7807480
",,🆕 New Lead,
,Skyline Real Estate GmbH,Real estate agency,DE,Frankfurt am Main,"Zeil 44, 60313 Frankfurt am Main, Germany",http://www.immoskyline.de/,info@immoskyline.com,"49 172 6645661
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Property Connection,Real estate agent,DE,Berlin,"Genthiner Str. 8, 10785 Berlin, Germany",https://www.thepropertyconnection.de/,info@thepropertyconnection.de,"49 1522 8475210
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Bona Team,Real estate agent,US,Crested Butte,"211 Elk Ave, Crested Butte, CO 81224",http://www.thebonateam.com/,N/A,"(970) 236-6422
",,🆕 New Lead,
,Von Albert Real Estate,Real estate agency,DE,Berlin,"Kurfürstendamm 196, 10707 Berlin, Germany",https://www.von-albert.com/,info@vonalbert-realestate.com,"49 30 98351252
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Tupper's Team,Real estate agency,US,Evergreen,"1193 Bergen Pkwy Suite O/P, Evergreen, CO 80439",http://www.tuppersteam.com/,N/A,"(720) 248-8757
",,🆕 New Lead,
,The Tiffany Home Team,Real estate agent,US,Colorado Springs,"2727 N Cascade Ave Ste 195, Colorado Springs, CO 80907",http://www.thetiffanyhometeam.com/,N/A,"(719) 232-1564
",,🆕 New Lead,
,"Vanessa & Ricky Marquez, REALTORS® | The Marquez Group",Real estate agent,US,Colorado Springs,"142 S Raven Mine Dr Suite 100, Colorado Springs, CO 80905",https://marquezhomegroup.com/,N/A,"(719) 421-0909
",,🆕 New Lead,
,Reality Germany Funds,Real estate agency,DE,Berlin,"Marburger Str. 2, 10789 Berlin, Germany",https://reality-fund.com/reality-germany/,office@reality-fund.com,"
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,First Citiz Berlin,Real estate agency,DE,Berlin,"Pappelallee 11, 10437 Berlin, Germany",https://www.firstcitiz.com/,contact@firstcitiz.com,"49 30 41717274
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Livia Luizetto Realtor,Real estate agent,US,Chesapeake,"701 Greenbrier Pkwy, Chesapeake, VA 23320",,N/A,"(774) 644-8898
",,🆕 New Lead,
,Ramsy De Paula Realtor,Real estate agent,US,Woodstock,"9860 GA-92, Woodstock, GA 30188",,N/A,"(770) 826-8355
",,🆕 New Lead,
,"MoveZen Property Management Raleigh Metro, Wake County",Real estate agency,US,Raleigh,"609 St Marys St, Raleigh, NC 27605",https://movezen360.com/raleigh/,Rent@MoveZen360.com,"(919) 249-8555
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Alex Darst Realtor®,Real estate agent,US,Greenville,"703 Roper Creek Dr, Greenville, SC 29615",http://alex.livegreenville.com/,N/A,"(864) 434-3314
",,🆕 New Lead,
,Jadon & Company,Real estate agent,US,Columbia,"1201 Main St Suite 1470, Columbia, SC 29201",http://jadonandcompany.com/,N/A,"(843) 557-3303
",,🆕 New Lead,
,"Shannon Heim, Realtor® - Unique Real Estate",Real estate agency,US,Clarksville,"1811 Business Park Dr, Clarksville, TN 37040",https://shannon.uniquere.us/,shannon@uniquere.us,"(585) 305-3906
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Anne Sepko Realty Group North Atlanta,Real estate agent,US,Buford,"4878 Manhattan Dr NE, Buford, GA 30518",https://annesepko.kw.com/,N/A,"(770) 231-2442
",,🆕 New Lead,
,"Tom Menges, Howard Perry & Walston Realtor",Real estate agent,US,Raleigh,"5000 Falls of Neuse Rd Ste.100, Raleigh, NC 27609",http://www.tommenges.com/,thmenges@gmail.com,"(919) 274-5645
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Castro Real Estate Team,Real estate agency,US,Jacksonville,"2355 Western Blvd #300, Jacksonville, NC 28546",http://www.dianecastro.com/,N/A,"(910) 546-4479
",,🆕 New Lead,
,Claudia Ogrizek - Realtor,Real estate agent,US,Charlotte,"4525 Sharon Rd FL 3, Charlotte, NC 28211",https://www.compass.com/agents/claudia-ogrizek/,N/A,"(704) 995-1300
",,🆕 New Lead,
,Republic Flats,Apartment rental agency,US,Durham,"800 Finsbury St, Durham, NC 27703",https://www.republicflats.com/?ilm=obl&utm_source=gmb&utm_medium=organic,N/A,"(855) 909-8826
",,🆕 New Lead,
,"Patricia Fagiola, Real Estate Professional",Real estate agent,US,Marietta,"1355 Terrell Mill Rd, Marietta, GA 30067",https://www.searchrealestateatlanta.com/,patriciafagiola@gmail.com,"(678) 409-6656
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Becca Travis Real Estate Group- Coldwell Banker First,Real estate agency,US,Huntsville,"2410 L and N Dr SW suite c, Huntsville, AL 35801",http://beccatravis.com/,becca@beccatravis.com,"(256) 318-9066
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Brad Poole Group | Milton, GA Real Estate Agents",Real estate agency,US,Milton,"3265 Wolf Willow Cl, Milton, GA 30004",https://bradpoolegroup.com/,N/A,"(678) 618-0398
",,🆕 New Lead,
,Elizabeth Jones Homes,Real estate agent,US,Fredericksburg,"530 Princess Anne St, Fredericksburg, VA 22401",http://elizabethjoneshomes.com/,N/A,"(610) 451-2396
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Chris Samuels - AugustaGAHomeSearch,Real estate agent,US,Martinez,"3802 Washington Rd, Martinez, GA 30907",http://www.augustagahomesearch.com/,N/A,"(706) 564-5885
",,🆕 New Lead,
,3 Options Realty,Real estate agency,US,Roswell,"555 Sun Valley Dr Suite B4, Roswell, GA 30076",https://www.3optionsrealty.com/,graham@3optionsrealty.com,"(678) 397-1282
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,J Exum Group,Real estate consultant,US,Hurstbourne,"240 Whittington Pkwy, Hurstbourne, KY 40222",http://jexumgroup.com/,N/A,"(502) 345-2557
",,🆕 New Lead,
,Drew Doheny,Real estate agency,US,Richmond Hill,"17 Richard Davis Dr, Richmond Hill, GA 31324",https://drewsellsga.com/,N/A,"(912) 856-9065
",,🆕 New Lead,
,"RE/MAX Town & Country, The Ailion Team",Real estate agency,US,Alpharetta,"12315 Crabapple Rd #136, Alpharetta, GA 30004",https://www.locationlocationlocation.com/,bruce@locationlocationlocation.com,"(404) 978-2281
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Gillespy Group - Lee & Darlene,Real estate agent,US,Atlanta,"1409 Peachtree St NE, Atlanta, GA 30309",https://leeanddarlene.com/?utm_source=gbp&utm_medium=organic,N/A,"(404) 932-3006
",,🆕 New Lead,
,Jan Lambert Re/Max Properties,Real estate agency,US,Chattanooga,"2242 Encompass Dr, Chattanooga, TN 37421",http://realtorjanlambert.com/,N/A,"(423) 544-4005
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Carson Cowan | Atlanta Fine Homes Sotheby's International Realty,Real estate agent,US,Atlanta,"1555 W Peachtree St NE, Atlanta, GA 30309",http://carsoncowan.com/,N/A,"(404) 998-9944
",,🆕 New Lead,
